id,GIS_ID,NUTZUNG,JAHR,crop_type,crop_code,geometry,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21
8076,317495,Wintergerste,2019,Winter Barley,5,POINT (481114.7605800416 5247080.937634443),0.8416097470924866,0.8445785335527519,0.8514025777103867,0.8460377358490566,0.8548114800225098,0.8534594694861808,0.8557241896196365,0.854334394308182,0.8542431857722792,0.847673314339981,0.8447958808385435,0.8504915600074198,0.8487077909828334,0.8398011852418276,0.8523340152501395,0.8575943483918944,0.8473924977127173,0.8602554470323066,0.8553948832035595,0.844903988183161,0.8497458105818114
9518,317495,Wintergerste,2019,Winter Barley,5,POINT (481140.8511176772 5247054.234141044),0.8637664567830566,0.8568522285925653,0.849155722326454,0.8555832216050565,0.856515373352855,0.8607809847198642,0.8576499159349897,0.8490566037735849,0.8503190872171728,0.8520322157707436,0.8519061583577713,0.8602554470323066,0.8633401601191585,0.8543352601156069,0.8669208770257387,0.8477769404672192,0.8582852891947181,0.8456802001154512,0.8605714285714285,0.8490284005979074,0.8663558663558664
2170,336796,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (480364.2549865288 5255066.670141161),0.712223291626564,0.6841614182411941,0.7007947639083684,0.6969407265774379,0.7142857142857144,0.7027471237379666,0.7016786570743404,0.6798839458413926,0.7098268714947574,0.702491103202847,0.7109448082319925,0.7067296340023613,0.6892969316259966,0.7047272727272728,0.6973715368221642,0.6969411764705882,0.6984499765147956,0.7001695325744732,0.6923805016564127,0.696626562868601,0.6960830580462481
3426,336814,Silo- und Grünmais,2019,Silage Maize,3,POINT (480287.6478347952 5255009.298528417),0.472474868358066,0.4767496477219352,0.48253068932955623,0.4768786127167631,0.46743849493487705,0.47353361945636624,0.47050495516753177,0.4783027965284474,0.4514121589277166,0.4595605423094904,0.47131711794401093,0.4708646616541354,0.483349191246432,0.4678277697145622,0.47191011235955055,0.4696823869104908,0.4572217111315548,0.47257987601335244,0.46077970878346636,0.4800936768149883,0.4752667313288069
253,320441,Silo- und Grünmais,2019,Silage Maize,3,POINT (480154.2064544604 5247073.502198949),0.9238188654569234,0.9195915762603701,0.9172797122772601,0.9147755102040817,0.9173118102454291,0.9248992747784046,0.9191723246039443,0.9264126149802892,0.9166254737188994,0.9283000165207334,0.9178259462956972,0.9193706981317602,0.9207277452891489,0.9240167364016735,0.9197421434327154,0.9235044132069304,0.919948767211015,0.9220522940305869,0.9271672574927491,0.9194373401534527,0.9150272772359069
2252,319770,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (482412.939620498 5251645.760774878),0.7408515535097813,0.743021710234825,0.7344475394614669,0.7484128850223373,0.7413278198943257,0.746309963099631,0.7332726445152481,0.7551789077212806,0.7475083056478404,0.7429755872869644,0.7516050475979633,0.7425925925925927,0.7472014925373134,0.7485029940119761,0.7352806937471474,0.7529438928653891,0.7471158283341024,0.740139211136891,0.7460757156048016,0.7516222868650705,0.7403735300899239
4640,319773,Silo- und Grünmais,2019,Silage Maize,3,POINT (482492.088409173 5251609.899136675),0.291501976284585,0.3326848249027237,0.30259931338891616,0.2922013820335638,0.2936468234117058,0.3059226627508566,0.3043912175648703,0.31456790123456785,0.3070707070707071,0.28205128205128205,0.3129251700680272,0.29387961557916037,0.3057517658930374,0.3038105046343975,0.2919563058589871,0.3093241243216576,0.29162561576354673,0.29477422628107564,0.30979612133267037,0.31628135759960646,0.3077689243027888
3995,40823,Wintergerste,2019,Winter Barley,5,POINT (474134.6747475103 5250368.986364582),0.8828571428571428,0.8866620594333101,0.893215859030837,0.8791851195748449,0.8778089887640448,0.8856839497434082,0.8875152359394045,0.8801711840228246,0.89427633977397,0.8942947147357367,0.8842015371477369,0.8994652406417112,0.8993435448577681,0.8821796759941088,0.8867262844117132,0.8865374355326338,0.8859261875331097,0.8891877353415815,0.8844256518675122,0.8835904628330996,0.8821015138023152
689,320796,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (475754.774050296 5251259.538185526),0.5464717972139758,0.5693058327788866,0.5598386373823397,0.5523482245131729,0.5449977158519871,0.5451656831593282,0.5572105619498984,0.5458455965587503,0.5491916859122401,0.5482093663911847,0.5488392466053439,0.5631567180862955,0.5545891508354315,0.5501303626451767,0.5499889159831522,0.5678482727477986,0.554623703376738,0.5455381784728611,0.5414634146341464,0.5597147950089127,0.5384615384615385
3648,320796,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (475730.3059195243 5251212.885237459),0.5314604132807059,0.5444905486399263,0.5423969682614874,0.5365344467640919,0.5339398180545837,0.5399952527889865,0.5485661424606845,0.5508673230192218,0.5360623781676414,0.5404896421845573,0.5438437074057247,0.5552043350643486,0.5370722433460077,0.5268258095012999,0.5445269016697588,0.5336933552477108,0.5358059248891999,0.5525029103608847,0.5436802973977695,0.5308641975308641,0.5407685098406748
6812,320796,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (475673.9968679234 5251296.084995554),0.6083707025411061,0.6106106106106106,0.6034179442070872,0.6016157535975765,0.6189290161892901,0.6022044088176354,0.6004041424602172,0.6191934660541093,0.6059441455290802,0.6180116367315962,0.5971406688792443,0.5961780236359064,0.5885471898197243,0.6132833422603108,0.6151898734177215,0.6066314996232103,0.6056982955990842,0.6124876114965313,0.6064531899291127,0.6242611153945001,0.607188703465982
5178,332523,Wintergerste,2019,Winter Barley,5,POINT (479760.9624458175 5253817.772117342),0.5515475395234914,0.5382585751978892,0.54673721340388,0.536574682435392,0.563063063063063,0.5443812855268911,0.5528580887221364,0.5598214285714286,0.547230521719145,0.5412599822537711,0.5396618985695708,0.5515855292541314,0.5555061179087876,0.5506035283194057,0.5533807829181495,0.545536519386835,0.5358872743284897,0.5544642857142857,0.5595316986967086,0.56195462478185,0.5491540923639688
7564,332532,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (479842.1148940392 5253663.805104564),0.5860950173812283,0.5981941309255079,0.5785046728971962,0.6069663450223581,0.5849407390192889,0.5800548947849955,0.6,0.5884305357989569,0.5811786629396692,0.5813302217036173,0.5889528193325662,0.6005560704355886,0.5947894859269597,0.5741499879430915,0.5750813575081357,0.5992456388495991,0.5981438515081207,0.5940060875673144,0.5943027796921664,0.5851307939421753,0.5942499420357059
714,341708,Körnermais,2019,Corn,0,POINT (479718.6958030941 5248347.629946489),0.7800956106040853,0.7804459691252144,0.776061776061776,0.7796828118302614,0.7844568484328037,0.7944397641112046,0.7774044519109619,0.7697966248377325,0.7774874809492707,0.7785320322443784,0.7789314298074844,0.778534923339012,0.7800511508951408,0.7655773420479303,0.7843803056027164,0.7848674283250701,0.7673825217945991,0.7866894197952219,0.7802244336226974,0.7815699658703071,0.7698664971392244
6406,341708,Körnermais,2019,Corn,0,POINT (479749.9446295409 5248333.849294757),0.6810254255095608,0.6824141519250779,0.6709903232448012,0.6531120331950208,0.677446102819237,0.6697588126159555,0.6647118301314459,0.6793248945147679,0.6712095400340716,0.6828320032739922,0.6606851549755302,0.681622618315919,0.6750629722921914,0.6618150684931506,0.6799836099160008,0.6633829385872981,0.6714956131401755,0.6780366056572379,0.672981878088962,0.6734109952994073,0.6763727121464227
7984,130123,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (473297.3407491946 5253163.775975239),0.7961522717969709,0.7802111849824012,0.7745513208308127,0.7725521994729374,0.7637666325486181,0.7719656722517367,0.7726458291857455,0.7654141581897447,0.7699263932702417,0.7662548106137329,0.769939879759519,0.7734390888753304,0.7775919732441471,0.779072186394841,0.7880690737833594,0.7549216552832463,0.7903912426515305,0.7817589576547233,0.7745098039215685,0.7625754527162978,0.7793822703569996
7260,319710,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (481801.0195326536 5247635.820407944),0.7035647279549719,0.6923779096303058,0.7070422535211267,0.6875289754288363,0.7295238095238095,0.6821071752951862,0.7103448275862069,0.7181208053691275,0.7061340941512124,0.6892655367231638,0.6869244935543278,0.6834951456310678,0.6838201205377841,0.6880382775119616,0.6993950674732434,0.6944190301921317,0.691197691197691,0.6769443166129775,0.677950594693504,0.6860735910572893,0.6965711601690935
9022,334608,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (481797.7244709155 5247714.336241034),0.5118934348239771,0.5130270014211274,0.5270818420424719,0.5048169556840078,0.5083072477726944,0.5257731958762886,0.5006986492780624,0.5076400679117148,0.5074987905176584,0.5157489781197403,0.5278641473331739,0.5120567375886524,0.510214127492001,0.5207350384901912,0.4947064485081809,0.5187574671445639,0.5176636834667924,0.509488349747778,0.50970184571699,0.5094513600737668,0.5248461902508282
8150,267469,Silo- und Grünmais,2019,Silage Maize,3,POINT (478908.3958517857 5249972.693396199),0.20881138136759986,0.2171965965069413,0.2398523985239853,0.23325635103926096,0.20502092050209197,0.23476702508960573,0.2233363719234276,0.20222119389171686,0.22541743970315392,0.21602947950253337,0.21818181818181817,0.23502722323049002,0.21371535932362606,0.23268036311514567,0.22000926354793882,0.22389463781749758,0.22560145256468456,0.21490231712857794,0.2328767123287671,0.24233983286908076,0.21059972105997213
9147,331956,Soja zur Speiseölgewinnung,2019,Soybean,8,POINT (478960.1090930065 5250102.861732759),0.1970260223048327,0.18983557548579968,0.18236173393124064,0.1813312930374904,0.1908396946564885,0.18045112781954886,0.17929482370592645,0.1939163498098859,0.1932515337423313,0.1853546910755149,0.18161925601750545,0.18601190476190474,0.1912320483749055,0.1466666666666666,0.20120120120120116,0.1656534954407295,0.19047619047619044,0.17273431448489543,0.15355233002291818,0.1952309985096871,0.1636636636636637
2074,262778,Silo- und Grünmais,2019,Silage Maize,3,POINT (482846.0417123992 5247034.893399199),0.1550561797752809,0.15241971958389872,0.15916473317865432,0.16388888888888886,0.13922902494331071,0.17998163452708907,0.15547378104875806,0.15230554261760598,0.15132178669097537,0.17283372365339578,0.15006759801712485,0.1527904849039341,0.1461824953445065,0.1644486692015209,0.1700367647058823,0.16276937184777618,0.15514874141876428,0.14631873252562913,0.17589285714285713,0.16003700277520816,0.16423357664233584
3042,262778,Silo- und Grünmais,2019,Silage Maize,3,POINT (482976.8581756112 5247059.342146001),0.17287488061127027,0.16836262719703973,0.16540642722117202,0.16410971641097163,0.16596144804889515,0.15838365071992572,0.17848864163189623,0.1616822429906542,0.17748917748917747,0.14074757729580065,0.16372093023255815,0.14468864468864462,0.15246430216490103,0.17719132893496706,0.16595744680851066,0.16781609195402292,0.14285714285714282,0.17020273455917015,0.14393226716839136,0.15935334872979215,0.18378887841658814
